sessionId,operatorId,scenarioId,sequencePosition,previousAction,expectedAction,responseSeconds,pauseSeconds,duplicateCount,actionValue,valveL1,feedFlow,pressureK1,pressureK2,levelK1,levelK2,temperatureFurnace,gasPercent,saltMgL,waterAfterElou,powerOk,instrumentAirOk,coolingWaterOk,ventElouOk,riskId,candidateAction,willError,riskClass,riskScore,predictedErrorLabel
synthetic-00697,operator-15,SC-10,3,start-N1,restore-utility-or-prepare-equipment,27.52,23.55,0,26.5,19.8,447.7,2.98,0.45,46.9,45.0,301.2,5.3,2.08,0.049,True,True,True,True,risk-003854,start-N1,1,HIGH,73,EQUIPMENT_NOT_READY
synthetic-00791,operator-15,SC-13,10,check-alarm,restore-ventilation,12.84,17.46,0,54.2,96.3,846.8,1.94,0.61,57.0,35.4,315.2,16.8,2.75,0.127,True,True,True,False,risk-000185,disable-ventilation,1,HIGH,85,CRITICAL_OPERATION_ERROR
synthetic-00192,operator-15,SC-10,2,check-alarm,restore-cooling,24.98,24.79,0,38.0,99.3,643.9,2.89,0.67,51.2,62.6,331.1,6.1,3.76,0.126,True,True,True,True,risk-005549,restore-cooling,0,LOW,10,NORMAL
synthetic-00406,operator-23,SC-06,7,alarm-K1-high,cut-fuel,140.16,147.39,0,31.9,97.8,689.5,2.32,0.46,66.0,50.8,335.5,19.3,3.47,0.137,True,True,True,False,risk-001868,restore-cooling,1,MEDIUM,66,RESPONSE_TIME_ERROR
synthetic-00148,operator-18,SC-08,5,check-alarm,protect-K2,4.73,2.88,0,42.0,97.1,783.5,2.04,0.67,37.4,63.6,324.7,6.8,2.08,0.076,True,True,True,True,risk-003143,protect-K2,0,LOW,18,NORMAL
synthetic-00660,operator-03,SC-14,6,check-alarm,set-fuel-45,27.86,18.33,0,86.7,97.7,102.5,4.04,0.39,45.9,60.3,396.3,8.6,4.71,0.144,True,True,True,True,risk-001542,set-fuel,1,HIGH,82,PARAMETER_ERROR
synthetic-00145,operator-15,SC-07,10,check-alarm,set-fuel,15.38,23.06,0,52.8,98.7,835.1,3.02,0.58,69.0,36.9,351.8,10.8,2.51,0.068,True,True,True,True,risk-008661,set-fuel,0,LOW,16,NORMAL
synthetic-00359,operator-17,SC-05,1,alarm-K1-high,cut-fuel,70.88,74.73,0,49.2,98.4,730.6,4.26,0.39,72.9,46.4,312.2,3.6,2.72,0.084,True,True,False,True,risk-006936,toggle-electric-field,1,HIGH,74,RESPONSE_TIME_ERROR
synthetic-00729,operator-08,SC-08,12,restore-cooling,restore-utility-or-prepare-equipment,6.01,10.42,0,42.5,96.1,851.5,3.96,0.39,58.2,42.5,307.6,1.5,4.73,0.119,True,True,False,True,risk-005001,start-N1,1,MEDIUM,57,EQUIPMENT_NOT_READY
synthetic-00013,operator-23,SC-13,9,set-fuel-45,toggle-electric-field,11.09,3.79,0,39.8,96.3,731.1,2.36,0.46,54.8,60.5,300.4,8.6,4.26,0.052,True,True,True,True,risk-001576,toggle-electric-field,0,LOW,3,NORMAL
synthetic-00370,operator-04,SC-14,6,alarm-K1-high,restore-cooling,114.07,139.59,0,40.8,96.1,496.7,2.48,0.6,49.6,56.4,328.2,21.2,2.4,0.106,True,True,True,False,risk-006343,start-N1,1,MEDIUM,55,RESPONSE_TIME_ERROR
synthetic-00550,operator-09,SC-05,10,restore-cooling,set-fuel-45,22.34,5.74,0,96.7,97.8,220.3,4.19,0.46,65.3,65.0,427.6,11.1,3.37,0.068,True,True,True,True,risk-001723,set-fuel,1,MEDIUM,56,PARAMETER_ERROR
synthetic-00806,operator-01,SC-01,2,set-fuel-45,restore-circulation-and-reduce-fuel,4.78,3.81,0,90.9,97.2,16.4,1.86,0.66,57.9,55.4,434.3,3.9,4.34,0.061,True,True,True,True,risk-005712,set-fuel,1,HIGH,96,CRITICAL_OPERATION_ERROR
synthetic-00049,operator-24,SC-13,4,open-L1,start-N2,4.15,20.88,0,31.3,98.7,541.4,2.57,0.79,51.8,71.5,309.6,8.2,2.95,0.141,True,True,True,True,risk-005274,start-N2,0,LOW,6,NORMAL
synthetic-00180,operator-11,SC-08,10,set-fuel-45,toggle-electric-field,4.18,17.65,0,50.6,95.2,855.8,2.56,0.57,55.2,35.4,325.7,5.5,2.41,0.123,True,True,True,True,risk-001079,toggle-electric-field,0,LOW,16,NORMAL
synthetic-00241,operator-22,SC-13,8,drain-E1,open-L1,18.22,11.46,0,36.0,42.2,123.5,2.6,0.55,46.5,67.7,339.6,7.2,2.62,0.067,True,True,True,True,risk-004464,start-N1,1,MEDIUM,59,SEQUENCE_ERROR
synthetic-00191,operator-09,SC-12,1,set-fuel-45,restore-ventilation,13.45,2.79,0,33.5,98.8,497.9,2.5,0.58,74.4,69.6,339.3,2.4,2.08,0.071,True,True,True,True,risk-006480,restore-ventilation,0,LOW,8,NORMAL
synthetic-00431,operator-21,SC-08,10,alarm-K1-high,cut-fuel,80.47,123.47,0,33.5,98.3,740.4,1.88,0.51,43.7,66.4,331.1,25.8,4.57,0.093,True,True,True,False,risk-002997,toggle-electric-field,1,HIGH,76,RESPONSE_TIME_ERROR
synthetic-00140,operator-06,SC-12,7,check-alarm,restore-ventilation,18.09,22.89,0,26.5,96.1,473.8,2.89,0.41,69.5,56.1,301.3,6.9,2.28,0.111,True,True,True,True,risk-004151,restore-ventilation,0,LOW,24,NORMAL
synthetic-00591,operator-01,SC-10,6,restore-cooling,set-fuel-45,16.98,2.98,0,75.0,99.4,146.0,3.08,0.73,53.0,74.9,415.4,5.4,2.53,0.098,True,True,True,True,risk-007517,set-fuel,1,HIGH,70,PARAMETER_ERROR
synthetic-00525,operator-24,SC-07,7,start-N1,check-process-state,23.22,1.29,5,31.2,95.0,615.4,2.37,0.74,72.3,65.7,345.0,10.2,2.82,0.128,True,True,True,True,risk-003507,start-N1,1,MEDIUM,53,DUPLICATE_COMMAND
synthetic-00826,operator-10,SC-12,3,start-N1,restore-ventilation,7.92,24.25,0,37.0,95.6,668.6,2.3,0.42,46.7,50.1,310.1,33.9,2.48,0.112,True,True,True,False,risk-007596,disable-ventilation,1,HIGH,92,CRITICAL_OPERATION_ERROR
synthetic-00357,operator-03,SC-05,9,alarm-K1-high,protect-K1,141.92,118.95,0,26.4,97.5,790.2,2.13,0.69,56.7,41.8,349.3,28.7,2.53,0.096,True,True,True,False,risk-004656,set-fuel,1,HIGH,82,RESPONSE_TIME_ERROR
synthetic-00220,operator-19,SC-05,7,set-fuel-70,open-L1,10.55,21.72,0,38.4,28.6,40.0,1.99,0.42,36.6,66.4,323.9,7.5,2.07,0.127,True,True,True,True,risk-004608,start-N1,1,HIGH,75,SEQUENCE_ERROR
synthetic-00608,operator-22,SC-10,9,check-alarm,set-fuel-45,19.18,8.65,0,95.2,99.2,113.4,4.36,0.41,60.2,53.5,369.5,2.8,2.82,0.076,True,True,True,True,risk-005038,set-fuel,1,MEDIUM,55,PARAMETER_ERROR
synthetic-00581,operator-07,SC-05,5,set-fuel-45,set-fuel-45,22.36,21.88,0,90.3,95.1,275.4,2.55,0.79,40.8,69.9,389.6,2.1,2.92,0.058,True,True,True,True,risk-004559,set-fuel,1,MEDIUM,67,PARAMETER_ERROR
synthetic-00622,operator-16,SC-05,6,set-fuel-45,set-fuel-45,19.59,8.57,0,79.5,96.5,331.4,4.7,0.63,46.7,57.7,380.7,9.6,2.26,0.04,True,True,True,True,risk-002278,set-fuel,1,HIGH,77,PARAMETER_ERROR
synthetic-00748,operator-22,SC-06,9,open-L1,restore-utility-or-prepare-equipment,12.02,12.49,0,48.7,62.8,820.7,2.09,0.57,35.6,51.5,316.5,7.2,2.03,0.131,True,True,True,True,risk-002760,set-fuel,1,HIGH,78,EQUIPMENT_NOT_READY
synthetic-00318,operator-22,SC-14,10,drain-E1,open-L1,24.78,20.24,0,38.7,17.6,140.6,3.03,0.71,55.3,64.6,337.5,7.8,2.57,0.051,True,True,True,True,risk-004425,start-N1,1,HIGH,75,SEQUENCE_ERROR
synthetic-00657,operator-06,SC-08,1,open-L1,set-fuel-45,6.01,3.5,0,96.2,97.8,124.1,3.04,0.42,71.7,39.6,392.5,10.6,3.44,0.057,True,True,True,True,risk-003058,set-fuel,1,MEDIUM,69,PARAMETER_ERROR
synthetic-00052,operator-01,SC-08,6,restore-cooling,restore-cooling,5.11,3.59,0,39.5,96.5,493.8,2.54,0.46,39.3,62.3,302.3,3.1,2.23,0.054,True,True,True,True,risk-009665,restore-cooling,0,LOW,13,NORMAL
synthetic-00012,operator-10,SC-08,5,start-N1,protect-K2,27.43,10.53,0,27.6,95.3,774.2,2.27,0.47,57.5,42.8,336.0,0.0,4.55,0.062,True,True,True,True,risk-003091,protect-K2,0,LOW,8,NORMAL
synthetic-00092,operator-07,SC-06,10,open-L1,start-N2,10.68,2.05,0,26.6,97.1,521.8,2.25,0.38,65.1,41.8,317.5,3.2,2.1,0.118,True,True,True,True,risk-002790,start-N2,0,LOW,2,NORMAL
synthetic-00187,operator-21,SC-07,8,set-fuel-45,toggle-electric-field,25.26,4.89,0,26.2,98.1,549.3,3.05,0.4,61.7,66.3,302.2,2.3,4.25,0.07,True,True,True,True,risk-000655,toggle-electric-field,0,LOW,1,NORMAL
synthetic-00824,operator-23,SC-05,6,set-fuel-45,protect-K2,8.3,2.25,0,68.3,95.4,453.3,3.15,0.52,53.8,9.7,315.8,1.6,4.25,0.06,True,True,True,True,risk-006230,set-fuel,1,HIGH,99,CRITICAL_OPERATION_ERROR
synthetic-00261,operator-04,SC-05,9,check-alarm,open-L1,11.28,9.09,0,43.5,20.7,215.0,2.0,0.46,40.8,67.5,318.6,6.2,4.76,0.108,True,True,True,True,risk-008087,start-N1,1,HIGH,81,SEQUENCE_ERROR
synthetic-00046,operator-06,SC-12,7,open-L1,set-fuel,27.25,4.48,0,54.0,98.8,560.2,2.17,0.47,72.1,43.8,338.1,8.0,3.48,0.071,True,True,True,True,risk-005444,set-fuel,0,LOW,13,NORMAL
synthetic-00628,operator-15,SC-07,7,set-fuel-45,set-fuel-45,15.69,8.35,0,81.8,98.1,392.8,3.11,0.44,50.7,63.0,402.8,3.6,4.16,0.114,True,True,True,True,risk-004071,set-fuel,1,HIGH,70,PARAMETER_ERROR
synthetic-00496,operator-10,SC-05,6,start-N1,check-process-state,22.42,1.34,4,24.0,95.8,712.4,2.58,0.67,63.7,64.8,347.6,2.9,4.25,0.138,True,True,True,True,risk-003729,start-N1,1,MEDIUM,42,DUPLICATE_COMMAND
synthetic-00118,operator-09,SC-05,2,restore-cooling,restore-ventilation,27.63,14.59,0,53.7,97.8,652.2,3.13,0.59,60.1,63.5,316.2,3.8,4.3,0.05,True,True,True,True,risk-003111,restore-ventilation,0,LOW,3,NORMAL
synthetic-00465,operator-11,SC-05,10,start-N1,check-process-state,11.2,1.79,4,52.1,97.7,518.5,1.85,0.79,36.1,42.9,338.5,6.2,2.1,0.126,True,True,True,True,risk-002887,start-N1,1,MEDIUM,35,DUPLICATE_COMMAND
synthetic-00503,operator-22,SC-10,7,toggle-electric-field,check-process-state,12.96,1.7,4,49.8,96.4,614.6,1.84,0.7,63.5,48.2,354.2,4.9,3.57,0.067,True,True,True,True,risk-008162,toggle-electric-field,1,MEDIUM,51,DUPLICATE_COMMAND
synthetic-00712,operator-24,SC-06,6,set-fuel-45,restore-utility-or-prepare-equipment,19.26,20.13,0,22.1,96.5,466.0,4.4,0.39,51.5,74.9,304.6,4.3,3.08,0.119,True,True,False,True,risk-008879,set-fuel,1,HIGH,82,EQUIPMENT_NOT_READY
synthetic-00077,operator-10,SC-05,10,start-N1,restore-ventilation,25.14,9.24,0,54.8,99.3,738.1,2.13,0.7,40.7,60.1,340.6,6.9,2.42,0.105,True,True,True,True,risk-003988,restore-ventilation,0,LOW,22,NORMAL
synthetic-00004,operator-08,SC-01,1,check-alarm,restore-cooling,13.16,3.73,0,50.7,99.1,842.4,2.04,0.54,44.2,73.4,327.5,0.3,2.47,0.101,True,True,True,True,risk-004246,restore-cooling,0,LOW,17,NORMAL
synthetic-00269,operator-11,SC-06,2,set-fuel-70,open-L1,22.38,10.83,0,48.3,74.5,108.0,2.97,0.78,64.4,36.2,309.4,9.4,3.33,0.06,True,True,True,True,risk-007860,start-N1,1,MEDIUM,62,SEQUENCE_ERROR
synthetic-00295,operator-23,SC-06,5,drain-E1,open-L1,27.14,7.48,0,47.5,26.6,225.9,2.57,0.79,55.4,36.1,322.1,5.8,3.03,0.077,True,True,True,True,risk-006519,start-N1,1,MEDIUM,57,SEQUENCE_ERROR
synthetic-00712,operator-18,SC-01,5,check-alarm,restore-utility-or-prepare-equipment,9.85,19.81,0,28.9,25.0,484.1,2.09,0.47,40.9,46.4,307.8,2.0,4.08,0.04,True,True,True,True,risk-001389,start-N2,1,MEDIUM,55,EQUIPMENT_NOT_READY
synthetic-00078,operator-09,SC-08,2,check-alarm,toggle-electric-field,25.87,7.42,0,38.7,95.3,555.2,2.12,0.64,46.3,39.3,347.2,0.3,4.22,0.148,True,True,True,True,risk-007133,toggle-electric-field,0,LOW,16,NORMAL
synthetic-00023,operator-09,SC-10,9,check-alarm,restore-ventilation,13.21,17.83,0,43.6,97.3,834.0,2.65,0.77,51.9,47.5,315.4,3.9,2.4,0.059,True,True,True,True,risk-005425,restore-ventilation,0,LOW,13,NORMAL
synthetic-00424,operator-19,SC-07,4,alarm-K1-high,restore-cooling,109.46,113.34,0,40.0,95.2,602.3,4.6,0.75,69.8,55.3,302.4,7.5,4.84,0.082,True,True,False,True,risk-001778,protect-K1,1,HIGH,72,RESPONSE_TIME_ERROR
synthetic-00827,operator-11,SC-07,8,open-L1,protect-K1,22.34,20.07,0,87.7,98.6,699.9,2.22,0.5,2.5,57.5,351.8,11.5,3.18,0.135,True,True,True,True,risk-001392,set-fuel,1,HIGH,92,CRITICAL_OPERATION_ERROR
synthetic-00412,operator-14,SC-01,3,alarm-K1-high,cut-fuel,104.31,105.61,0,24.1,98.9,741.9,4.18,0.77,47.9,49.5,338.3,4.5,3.79,0.115,True,True,False,True,risk-006752,start-N2,1,HIGH,75,RESPONSE_TIME_ERROR
synthetic-00220,operator-21,SC-07,1,check-alarm,open-L1,26.22,14.93,0,46.4,48.6,248.6,2.61,0.43,62.8,74.8,354.3,2.1,4.91,0.121,True,True,True,True,risk-008852,start-N1,1,HIGH,74,SEQUENCE_ERROR
synthetic-00070,operator-19,SC-05,3,start-N1,protect-K2,11.79,23.87,0,26.5,96.7,501.6,2.18,0.65,64.9,54.7,326.7,11.1,3.57,0.136,True,True,True,True,risk-005411,protect-K2,0,LOW,5,NORMAL
synthetic-00337,operator-02,SC-12,9,alarm-K1-high,restore-cooling,138.33,148.85,0,39.3,97.6,732.9,4.41,0.5,56.1,74.5,336.3,7.3,3.51,0.116,True,True,False,True,risk-000219,protect-K1,1,MEDIUM,55,RESPONSE_TIME_ERROR
synthetic-00029,operator-09,SC-14,4,check-alarm,restore-ventilation,24.34,9.0,0,26.2,99.7,636.7,3.14,0.68,69.1,67.0,352.0,11.4,2.97,0.092,True,True,True,True,risk-005930,restore-ventilation,0,LOW,7,NORMAL
synthetic-00235,operator-17,SC-01,2,drain-E1,open-L1,19.79,6.23,0,21.9,87.0,90.6,2.2,0.52,61.8,41.3,332.1,2.2,4.91,0.124,True,True,True,True,risk-006877,start-N1,1,MEDIUM,63,SEQUENCE_ERROR
synthetic-00701,operator-22,SC-01,3,set-fuel-45,restore-utility-or-prepare-equipment,24.25,5.07,0,51.9,98.9,788.3,2.96,0.76,40.3,72.9,330.6,4.5,3.76,0.14,False,True,True,True,risk-007780,start-N1,1,MEDIUM,61,EQUIPMENT_NOT_READY
synthetic-00815,operator-14,SC-08,10,start-N1,protect-K1,16.71,5.27,0,50.8,95.1,850.9,2.17,0.66,10.9,44.8,318.7,10.1,4.33,0.077,True,True,True,True,risk-005173,set-fuel,1,HIGH,93,CRITICAL_OPERATION_ERROR
synthetic-00053,operator-16,SC-07,9,set-fuel-45,set-fuel,9.76,15.93,0,42.7,97.7,453.9,2.7,0.75,46.7,45.7,322.0,9.2,3.26,0.099,True,True,True,True,risk-009270,set-fuel,0,LOW,21,NORMAL
synthetic-00065,operator-16,SC-05,11,start-N1,start-N2,26.94,3.96,0,49.7,95.7,724.4,2.65,0.69,72.2,72.0,312.2,5.2,4.23,0.112,True,True,True,True,risk-008176,start-N2,0,LOW,20,NORMAL
synthetic-00679,operator-06,SC-05,11,restore-cooling,restore-utility-or-prepare-equipment,5.78,19.73,0,28.8,99.0,561.0,3.88,0.54,52.7,41.9,322.9,7.3,2.64,0.125,True,True,False,True,risk-006078,set-fuel,1,MEDIUM,56,EQUIPMENT_NOT_READY
synthetic-00301,operator-13,SC-08,12,set-fuel-70,open-L1,6.29,15.39,0,54.7,17.0,205.7,2.38,0.57,68.8,74.2,345.6,2.4,2.49,0.085,True,True,True,True,risk-007319,start-N1,1,MEDIUM,69,SEQUENCE_ERROR
synthetic-00829,operator-15,SC-01,4,start-N1,protect-K1,24.84,17.43,0,74.4,98.5,760.7,2.36,0.43,2.0,53.4,337.9,4.2,3.96,0.14,True,True,True,True,risk-004706,set-fuel,1,HIGH,96,CRITICAL_OPERATION_ERROR
synthetic-00197,operator-17,SC-08,8,open-L1,protect-K1,19.23,13.08,0,21.1,95.4,785.5,2.83,0.75,35.2,60.1,313.8,6.9,2.16,0.067,True,True,True,True,risk-002386,protect-K1,0,LOW,14,NORMAL
synthetic-00629,operator-16,SC-13,3,restore-cooling,set-fuel-45,4.08,22.47,0,93.2,98.7,371.3,3.09,0.73,44.5,45.6,409.8,5.5,4.36,0.045,True,True,True,True,risk-000844,set-fuel,1,MEDIUM,57,PARAMETER_ERROR
synthetic-00144,operator-19,SC-01,2,set-fuel-45,protect-K2,23.45,14.64,0,47.3,95.2,899.8,2.54,0.68,41.0,63.2,354.6,7.0,2.39,0.087,True,True,True,True,risk-003861,protect-K2,0,LOW,9,NORMAL
synthetic-00573,operator-03,SC-01,12,start-N1,set-fuel-45,27.83,2.01,0,92.3,97.6,405.5,4.47,0.35,53.3,68.9,418.8,8.6,4.02,0.089,True,True,True,True,risk-009194,set-fuel,1,MEDIUM,69,PARAMETER_ERROR
synthetic-00466,operator-24,SC-08,10,start-N1,check-process-state,21.05,0.83,2,33.3,97.4,515.7,2.97,0.52,62.6,50.7,305.3,7.7,4.8,0.087,True,True,True,True,risk-007309,start-N1,1,MEDIUM,40,DUPLICATE_COMMAND
synthetic-00130,operator-09,SC-06,9,set-fuel-45,toggle-electric-field,7.54,5.55,0,48.4,97.9,669.5,2.82,0.46,37.3,39.4,348.9,8.2,3.51,0.118,True,True,True,True,risk-008200,toggle-electric-field,0,LOW,9,NORMAL
synthetic-00124,operator-04,SC-01,3,open-L1,start-N2,7.82,22.27,0,41.0,96.5,592.8,2.41,0.48,61.5,67.6,319.3,1.5,3.75,0.084,True,True,True,True,risk-008596,start-N2,0,LOW,5,NORMAL
synthetic-00584,operator-19,SC-08,5,check-alarm,set-fuel-45,8.36,18.08,0,88.0,99.2,164.8,3.15,0.58,69.8,39.2,406.0,4.6,2.34,0.053,True,True,True,True,risk-004907,set-fuel,1,MEDIUM,69,PARAMETER_ERROR
synthetic-00232,operator-06,SC-14,12,drain-E1,open-L1,10.61,7.99,0,22.0,66.9,232.9,3.19,0.72,61.6,48.8,304.0,7.9,3.8,0.09,True,True,True,True,risk-000102,start-N1,1,HIGH,76,SEQUENCE_ERROR
synthetic-00442,operator-17,SC-07,4,alarm-K1-high,cut-fuel,147.97,141.85,0,52.5,96.3,800.9,4.48,0.71,42.4,43.7,349.4,7.9,3.28,0.052,True,True,False,True,risk-009647,start-N2,1,MEDIUM,61,RESPONSE_TIME_ERROR
synthetic-00653,operator-06,SC-10,1,check-alarm,set-fuel-45,19.21,23.41,0,91.0,97.9,154.0,1.9,0.51,47.4,35.8,429.0,3.9,2.32,0.114,True,True,True,True,risk-004817,set-fuel,1,HIGH,74,PARAMETER_ERROR
synthetic-00649,operator-12,SC-05,11,open-L1,set-fuel-45,18.74,7.3,0,73.3,96.5,208.2,2.86,0.73,37.3,74.6,415.8,3.1,4.63,0.145,True,True,True,True,risk-005550,set-fuel,1,HIGH,76,PARAMETER_ERROR
synthetic-00091,operator-11,SC-13,1,start-N1,start-N1,22.06,5.5,0,23.9,98.5,604.1,2.27,0.37,66.4,62.5,325.5,0.2,3.5,0.09,True,True,True,True,risk-009701,start-N1,0,LOW,3,NORMAL
synthetic-00509,operator-21,SC-10,9,restore-cooling,check-process-state,19.43,1.58,3,52.6,96.1,724.4,3.01,0.48,59.5,63.3,348.4,2.5,3.28,0.068,True,True,True,True,risk-001521,restore-cooling,1,MEDIUM,41,DUPLICATE_COMMAND
synthetic-00690,operator-04,SC-10,12,open-L1,restore-utility-or-prepare-equipment,7.95,10.97,0,51.1,14.5,726.2,2.68,0.75,68.1,40.6,300.8,0.2,3.35,0.071,True,True,True,True,risk-004897,start-N2,1,HIGH,78,EQUIPMENT_NOT_READY
synthetic-00138,operator-22,SC-05,11,restore-cooling,protect-K1,14.95,22.15,0,49.6,97.0,576.9,2.17,0.53,39.9,69.2,333.1,7.3,3.05,0.107,True,True,True,True,risk-001508,protect-K1,0,LOW,18,NORMAL
synthetic-00282,operator-23,SC-06,5,drain-E1,open-L1,20.2,6.0,0,34.1,35.0,168.9,2.31,0.75,59.8,70.7,316.9,7.4,2.33,0.051,True,True,True,True,risk-007053,start-N1,1,MEDIUM,68,SEQUENCE_ERROR
synthetic-00614,operator-08,SC-07,10,restore-cooling,set-fuel-45,14.6,17.71,0,80.6,95.6,122.3,4.01,0.56,51.5,64.1,427.9,4.0,2.69,0.114,True,True,True,True,risk-003952,set-fuel,1,HIGH,82,PARAMETER_ERROR
synthetic-00499,operator-19,SC-13,7,toggle-electric-field,check-process-state,10.83,2.73,2,24.2,97.4,744.0,2.61,0.46,45.6,61.8,332.1,0.9,2.23,0.11,True,True,True,True,risk-006882,toggle-electric-field,1,MEDIUM,40,DUPLICATE_COMMAND
synthetic-00081,operator-01,SC-10,1,start-N1,protect-K2,23.61,2.53,0,39.9,95.8,470.0,3.19,0.61,58.7,50.7,306.9,8.4,2.4,0.091,True,True,True,True,risk-000946,protect-K2,0,LOW,13,NORMAL
synthetic-00715,operator-08,SC-12,9,start-N1,restore-utility-or-prepare-equipment,19.56,2.23,0,51.0,99.1,720.1,2.9,0.68,45.6,48.2,331.7,6.7,2.9,0.068,True,False,True,True,risk-000276,start-N1,1,MEDIUM,61,EQUIPMENT_NOT_READY
synthetic-00226,operator-19,SC-12,2,drain-E1,open-L1,22.74,23.54,0,27.6,85.2,232.6,2.93,0.5,49.7,62.1,338.5,3.4,3.08,0.06,True,True,True,True,risk-001710,start-N1,1,HIGH,71,SEQUENCE_ERROR
synthetic-00549,operator-07,SC-06,9,check-alarm,set-fuel-45,20.46,4.13,0,79.3,99.5,260.3,4.31,0.63,43.5,71.1,420.2,4.4,4.1,0.041,True,True,True,True,risk-002325,set-fuel,1,MEDIUM,59,PARAMETER_ERROR
synthetic-00526,operator-11,SC-12,8,restore-cooling,check-process-state,12.36,1.48,4,49.7,99.5,661.5,2.27,0.39,67.8,54.9,311.2,8.7,2.37,0.086,True,True,True,True,risk-001293,restore-cooling,1,MEDIUM,37,DUPLICATE_COMMAND
synthetic-00083,operator-08,SC-08,6,set-fuel-45,restore-cooling,22.94,10.45,0,52.2,96.6,689.5,1.99,0.51,49.8,42.9,337.6,2.7,2.9,0.063,True,True,True,True,risk-008709,restore-cooling,0,LOW,1,NORMAL
synthetic-00757,operator-17,SC-10,9,restore-cooling,protect-K1,24.31,3.29,0,56.6,97.4,770.1,2.37,0.77,13.3,35.6,354.7,1.5,4.18,0.048,True,True,True,True,risk-000460,set-fuel,1,HIGH,98,CRITICAL_OPERATION_ERROR
synthetic-00776,operator-24,SC-10,4,start-N1,restore-circulation-and-reduce-fuel,8.57,4.63,0,79.2,95.3,31.1,2.94,0.78,39.0,44.2,420.0,0.9,4.66,0.071,True,True,True,True,risk-002589,set-fuel,1,HIGH,99,CRITICAL_OPERATION_ERROR
synthetic-00670,operator-01,SC-06,8,open-L1,restore-utility-or-prepare-equipment,23.31,13.21,0,52.4,95.5,827.5,1.89,0.66,68.2,52.4,323.7,5.2,4.16,0.11,False,True,True,True,risk-006247,set-fuel,1,MEDIUM,59,EQUIPMENT_NOT_READY
synthetic-00808,operator-14,SC-05,6,restore-cooling,protect-K2,9.98,20.87,0,75.8,96.2,512.1,2.37,0.38,59.5,8.8,320.8,6.5,2.35,0.124,True,True,True,True,risk-000071,set-fuel,1,HIGH,92,CRITICAL_OPERATION_ERROR
synthetic-00484,operator-07,SC-08,7,set-fuel-45,check-process-state,10.29,2.71,2,24.7,96.3,593.1,2.93,0.56,35.8,71.0,338.4,0.2,3.42,0.073,True,True,True,True,risk-009670,set-fuel-45,1,MEDIUM,43,DUPLICATE_COMMAND
synthetic-00833,operator-04,SC-10,11,open-L1,restore-ventilation,26.43,20.22,0,35.1,98.0,541.8,2.51,0.42,73.5,37.6,346.0,33.5,2.27,0.075,True,True,True,False,risk-007153,disable-ventilation,1,HIGH,98,CRITICAL_OPERATION_ERROR
synthetic-00596,operator-18,SC-12,10,start-N1,set-fuel-45,21.74,10.85,0,81.2,97.6,162.1,4.63,0.44,60.5,45.8,424.9,4.6,2.86,0.126,True,True,True,True,risk-000628,set-fuel,1,MEDIUM,60,PARAMETER_ERROR
synthetic-00571,operator-01,SC-12,2,restore-cooling,set-fuel-45,15.89,3.6,0,97.5,96.8,385.7,3.1,0.62,46.8,61.4,402.8,1.3,2.33,0.149,True,True,True,True,risk-003595,set-fuel,1,MEDIUM,62,PARAMETER_ERROR
synthetic-00344,operator-08,SC-12,11,alarm-K1-high,cut-fuel,71.01,112.39,0,50.2,99.0,718.5,3.02,0.74,64.0,53.9,325.7,22.3,2.46,0.149,True,True,True,False,risk-004007,set-fuel,1,MEDIUM,67,RESPONSE_TIME_ERROR
synthetic-00565,operator-08,SC-10,4,start-N1,set-fuel-45,11.52,24.91,0,80.5,98.0,357.8,4.22,0.62,36.7,72.4,406.1,2.8,3.64,0.086,True,True,True,True,risk-000166,set-fuel,1,MEDIUM,60,PARAMETER_ERROR
synthetic-00495,operator-04,SC-10,2,start-N1,check-process-state,5.99,2.1,4,22.7,99.3,883.2,2.77,0.45,59.2,66.2,304.2,4.5,3.48,0.094,True,True,True,True,risk-001229,start-N1,1,MEDIUM,44,DUPLICATE_COMMAND
synthetic-00205,operator-18,SC-05,1,set-fuel-45,protect-K2,8.51,20.71,0,54.2,97.5,579.2,2.51,0.51,47.8,51.7,331.9,9.1,3.93,0.148,True,True,True,True,risk-003165,protect-K2,0,LOW,12,NORMAL
synthetic-00673,operator-17,SC-12,2,start-N1,restore-utility-or-prepare-equipment,11.24,3.06,0,45.2,96.6,531.0,3.02,0.72,61.2,47.6,347.4,6.1,4.2,0.083,True,False,True,True,risk-005466,start-N1,1,MEDIUM,64,EQUIPMENT_NOT_READY
synthetic-00421,operator-02,SC-07,10,alarm-K1-high,protect-K1,111.91,140.8,0,29.0,99.8,874.0,4.21,0.79,36.4,73.0,332.4,4.2,2.0,0.045,True,True,False,True,risk-008433,protect-K1,1,MEDIUM,67,RESPONSE_TIME_ERROR
synthetic-00336,operator-16,SC-10,8,alarm-K1-high,restore-cooling,111.55,136.57,0,33.2,98.4,697.8,4.2,0.54,62.2,42.8,344.0,1.5,3.99,0.083,True,True,False,True,risk-001554,start-N1,1,HIGH,77,RESPONSE_TIME_ERROR
synthetic-00597,operator-19,SC-05,9,start-N1,set-fuel-45,9.18,18.99,0,87.2,96.8,281.5,2.35,0.67,74.0,72.1,379.2,4.9,4.2,0.141,True,True,True,True,risk-008883,set-fuel,1,HIGH,72,PARAMETER_ERROR
