sessionId,operatorId,scenarioId,sequencePosition,action,previousAction,expectedAction,responseSeconds,pauseSeconds,duplicateCount,actionValue,valveL1,feedFlow,pressureK1,pressureK2,levelK1,levelK2,temperatureFurnace,gasPercent,saltMgL,waterAfterElou,powerOk,instrumentAirOk,coolingWaterOk,ventElouOk,label
synthetic-00593,operator-05,SC-14,8,set-fuel,start-N1,set-fuel-45,23.03,24.88,0,73.5,98.8,366.7,3.06,0.51,55.6,53.8,410.6,10.8,4.36,0.057,True,True,True,True,PARAMETER_ERROR
synthetic-00192,operator-16,SC-13,8,start-N2,set-fuel-45,start-N2,15.78,24.15,0,22.9,99.1,609.9,2.35,0.58,38.2,43.8,323.1,9.7,3.54,0.065,True,True,True,True,NORMAL
synthetic-00256,operator-05,SC-08,6,start-N1,drain-E1,open-L1,24.13,9.89,0,48.4,55.7,223.1,2.73,0.52,66.2,46.9,353.9,8.7,4.04,0.136,True,True,True,True,SEQUENCE_ERROR
synthetic-00781,operator-20,SC-10,9,set-fuel,set-fuel-45,restore-circulation-and-reduce-fuel,9.91,23.46,0,89.0,95.7,45.0,2.45,0.6,63.2,72.7,446.3,5.0,4.8,0.08,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00251,operator-17,SC-08,6,start-N1,check-alarm,open-L1,8.09,7.3,0,51.3,42.7,75.6,2.84,0.54,51.2,41.1,337.9,0.3,2.6,0.061,True,True,True,True,SEQUENCE_ERROR
synthetic-00103,operator-01,SC-01,1,protect-K2,start-N1,protect-K2,21.23,5.08,0,43.1,97.8,668.2,2.97,0.37,72.1,53.1,317.1,4.4,3.53,0.052,True,True,True,True,NORMAL
synthetic-00079,operator-14,SC-13,2,protect-K2,open-L1,protect-K2,19.82,24.78,0,28.3,99.3,780.5,3.06,0.63,49.3,49.5,308.0,3.5,3.57,0.112,True,True,True,True,NORMAL
synthetic-00656,operator-02,SC-10,6,set-fuel,open-L1,set-fuel-45,13.95,15.04,0,82.9,96.8,294.4,2.56,0.54,40.4,62.1,396.6,8.4,2.61,0.146,True,True,True,True,PARAMETER_ERROR
synthetic-00709,operator-24,SC-01,2,start-N1,check-alarm,restore-utility-or-prepare-equipment,14.56,23.55,0,21.4,96.7,447.7,4.27,0.73,54.5,55.6,352.4,8.0,2.12,0.145,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00772,operator-10,SC-06,12,set-fuel,open-L1,protect-K2,13.13,10.42,0,83.7,96.6,743.4,2.39,0.64,51.9,9.4,305.3,4.5,2.74,0.09,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00256,operator-09,SC-10,8,start-N1,drain-E1,open-L1,6.7,10.05,0,35.0,10.2,23.7,3.01,0.52,44.6,66.4,301.4,9.6,3.44,0.08,True,True,True,True,SEQUENCE_ERROR
synthetic-00644,operator-16,SC-13,5,set-fuel,check-alarm,set-fuel-45,6.27,21.68,0,85.1,97.2,395.0,1.89,0.74,74.6,39.5,378.5,1.0,2.74,0.066,True,True,True,True,PARAMETER_ERROR
synthetic-00747,operator-08,SC-07,6,set-fuel,set-fuel-45,restore-utility-or-prepare-equipment,19.62,2.16,0,46.5,27.1,478.7,2.12,0.54,73.4,66.4,340.0,0.1,3.34,0.098,True,True,True,True,EQUIPMENT_NOT_READY
synthetic-00402,operator-22,SC-12,11,toggle-electric-field,alarm-K1-high,restore-cooling,131.89,111.28,0,53.0,96.8,897.3,2.27,0.38,67.1,60.5,306.1,29.3,3.17,0.1,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00257,operator-22,SC-06,2,start-N1,set-fuel-70,open-L1,21.78,6.09,0,42.7,19.2,82.1,1.87,0.53,58.6,56.8,354.7,0.4,3.79,0.052,True,True,True,True,SEQUENCE_ERROR
synthetic-00183,operator-03,SC-06,8,restore-ventilation,start-N1,restore-ventilation,14.06,15.81,0,53.2,97.0,584.2,2.37,0.67,50.7,52.8,350.6,3.5,4.13,0.1,True,True,True,True,NORMAL
synthetic-00782,operator-07,SC-10,12,set-fuel,check-alarm,protect-K2,25.53,9.5,0,58.1,98.7,583.4,1.92,0.64,37.5,5.6,348.8,4.0,4.3,0.118,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00574,operator-11,SC-13,3,set-fuel,start-N1,set-fuel-45,16.72,7.07,0,95.6,98.7,382.4,4.47,0.76,59.7,42.8,380.8,6.9,3.63,0.098,True,True,True,True,PARAMETER_ERROR
synthetic-00180,operator-11,SC-08,10,toggle-electric-field,set-fuel-45,toggle-electric-field,4.18,17.65,0,50.6,95.2,855.8,2.56,0.57,55.2,35.4,325.7,5.5,2.41,0.123,True,True,True,True,NORMAL
synthetic-00681,operator-20,SC-14,3,start-N1,check-alarm,restore-utility-or-prepare-equipment,16.49,17.89,0,23.2,50.6,729.7,2.8,0.6,71.7,55.4,346.1,5.9,3.33,0.057,True,True,True,True,EQUIPMENT_NOT_READY
synthetic-00165,operator-20,SC-13,5,toggle-electric-field,open-L1,toggle-electric-field,22.36,17.55,0,32.9,98.9,453.2,2.14,0.38,42.5,73.7,329.7,9.0,3.83,0.103,True,True,True,True,NORMAL
synthetic-00094,operator-01,SC-08,1,restore-cooling,start-N1,restore-cooling,26.26,11.65,0,32.6,95.1,620.1,3.07,0.7,54.2,71.3,304.8,5.1,4.47,0.076,True,True,True,True,NORMAL
synthetic-00664,operator-04,SC-08,3,set-fuel,restore-cooling,set-fuel-45,8.9,20.14,0,96.2,98.5,111.4,2.28,0.46,43.1,74.5,370.2,1.8,3.78,0.143,True,True,True,True,PARAMETER_ERROR
synthetic-00042,operator-24,SC-06,6,restore-ventilation,start-N1,restore-ventilation,16.11,5.98,0,32.2,96.6,801.3,2.11,0.38,64.8,56.6,346.7,3.1,3.95,0.048,True,True,True,True,NORMAL
synthetic-00740,operator-14,SC-06,2,start-N2,check-alarm,restore-utility-or-prepare-equipment,20.55,7.45,0,53.7,98.6,782.0,4.35,0.68,49.9,72.2,351.8,1.4,4.49,0.144,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00160,operator-01,SC-06,5,protect-K2,open-L1,protect-K2,17.52,18.23,0,43.1,96.5,438.5,2.37,0.72,66.7,69.2,329.6,11.5,2.92,0.117,True,True,True,True,NORMAL
synthetic-00228,operator-20,SC-12,10,start-N1,check-alarm,open-L1,24.4,3.19,0,22.4,37.7,216.0,2.76,0.73,50.2,40.5,350.5,8.4,3.47,0.12,True,True,True,True,SEQUENCE_ERROR
synthetic-00325,operator-17,SC-05,12,start-N1,drain-E1,open-L1,22.73,16.61,0,50.6,45.6,275.2,2.73,0.35,54.6,52.3,339.0,1.4,2.5,0.146,True,True,True,True,SEQUENCE_ERROR
synthetic-00709,operator-05,SC-01,6,start-N1,start-N1,restore-utility-or-prepare-equipment,16.31,5.66,0,40.4,98.5,493.3,3.12,0.37,72.4,53.8,340.7,11.0,3.19,0.143,True,False,True,True,EQUIPMENT_NOT_READY
synthetic-00700,operator-16,SC-08,4,set-fuel,restore-cooling,restore-utility-or-prepare-equipment,10.54,6.37,0,45.2,98.2,784.4,3.99,0.45,38.0,66.5,305.5,5.7,3.07,0.117,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00347,operator-03,SC-06,12,restore-cooling,alarm-K1-high,restore-cooling,77.73,99.64,0,35.3,97.7,582.7,2.8,0.72,36.4,52.3,302.4,24.0,4.58,0.051,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00817,operator-07,SC-07,3,disable-ventilation,start-N1,restore-ventilation,24.04,13.5,0,46.6,95.3,746.6,3.01,0.47,51.0,41.1,342.3,23.1,3.81,0.144,True,True,True,False,CRITICAL_OPERATION_ERROR
synthetic-00023,operator-12,SC-13,10,restore-cooling,open-L1,restore-cooling,22.11,10.49,0,45.7,98.7,582.5,2.7,0.45,71.9,70.8,338.5,4.3,4.41,0.142,True,True,True,True,NORMAL
synthetic-00065,operator-18,SC-06,10,restore-ventilation,set-fuel-45,restore-ventilation,22.37,17.33,0,54.6,97.4,518.7,2.69,0.48,71.7,52.4,307.3,8.1,3.55,0.06,True,True,True,True,NORMAL
synthetic-00702,operator-17,SC-08,7,start-N1,open-L1,restore-utility-or-prepare-equipment,15.67,16.12,0,52.7,81.9,872.8,3.13,0.6,62.4,68.9,323.0,9.5,4.17,0.121,True,True,True,True,EQUIPMENT_NOT_READY
synthetic-00800,operator-16,SC-08,11,set-fuel,restore-cooling,restore-circulation-and-reduce-fuel,15.45,20.77,0,78.2,98.2,160.2,2.91,0.38,58.8,69.2,453.1,2.3,3.34,0.082,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00745,operator-01,SC-08,8,set-fuel,restore-cooling,restore-utility-or-prepare-equipment,11.53,16.15,0,48.3,99.9,767.1,2.84,0.79,56.3,68.5,340.8,1.7,3.12,0.102,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00734,operator-18,SC-12,9,start-N1,start-N1,restore-utility-or-prepare-equipment,26.94,5.67,0,26.0,99.3,433.9,4.15,0.43,41.9,67.7,347.7,9.1,3.81,0.054,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00655,operator-17,SC-13,3,set-fuel,restore-cooling,set-fuel-45,26.79,15.85,0,82.6,96.7,120.0,2.74,0.53,37.9,63.9,415.0,2.3,4.23,0.047,True,True,True,True,PARAMETER_ERROR
synthetic-00212,operator-21,SC-08,5,start-N1,check-alarm,open-L1,25.12,22.34,0,32.7,41.0,212.0,2.88,0.63,50.4,67.4,325.8,5.6,4.33,0.05,True,True,True,True,SEQUENCE_ERROR
synthetic-00615,operator-08,SC-12,4,set-fuel,set-fuel-45,set-fuel-45,8.22,6.51,0,88.1,96.8,284.6,4.6,0.64,66.7,71.9,420.7,6.2,4.72,0.143,True,True,True,True,PARAMETER_ERROR
synthetic-00467,operator-18,SC-07,6,set-fuel-45,set-fuel-45,check-process-state,26.44,0.39,3,37.7,98.5,587.5,2.55,0.73,52.4,52.2,337.2,9.4,3.78,0.1,True,True,True,True,DUPLICATE_COMMAND
synthetic-00298,operator-08,SC-01,5,start-N1,drain-E1,open-L1,5.3,12.75,0,25.6,26.9,170.4,2.22,0.57,46.7,67.2,355.0,7.5,4.63,0.065,True,True,True,True,SEQUENCE_ERROR
synthetic-00811,operator-10,SC-07,1,set-fuel,open-L1,protect-K1,10.61,23.02,0,59.8,97.6,870.3,2.42,0.68,5.7,46.4,323.1,7.9,2.91,0.095,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00669,operator-10,SC-05,1,set-fuel,check-alarm,restore-utility-or-prepare-equipment,12.4,11.61,0,48.7,95.6,425.7,2.18,0.53,51.6,65.5,341.3,8.5,2.2,0.131,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00299,operator-24,SC-06,7,start-N1,set-fuel-70,open-L1,18.59,24.45,0,23.5,60.2,255.3,2.06,0.68,70.5,67.9,305.9,1.7,3.34,0.11,True,True,True,True,SEQUENCE_ERROR
synthetic-00729,operator-20,SC-05,4,start-N1,open-L1,restore-utility-or-prepare-equipment,20.94,10.33,0,38.0,96.2,752.4,3.81,0.73,51.3,62.2,307.2,11.6,4.46,0.108,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00023,operator-22,SC-07,4,restore-ventilation,check-alarm,restore-ventilation,19.22,20.85,0,49.9,97.9,540.5,2.71,0.7,58.5,74.4,309.0,8.9,3.23,0.104,True,True,True,True,NORMAL
synthetic-00275,operator-15,SC-13,12,start-N1,drain-E1,open-L1,20.9,18.83,0,33.0,6.8,98.1,2.61,0.76,74.9,55.0,301.9,8.8,2.28,0.124,True,True,True,True,SEQUENCE_ERROR
synthetic-00043,operator-24,SC-01,11,start-N1,check-alarm,start-N1,8.39,13.31,0,41.9,95.6,464.7,3.07,0.77,68.6,54.4,311.8,11.8,3.3,0.068,True,True,True,True,NORMAL
synthetic-00178,operator-04,SC-13,8,start-N2,start-N1,start-N2,13.43,15.23,0,45.9,96.7,599.2,2.61,0.41,41.4,67.3,325.1,11.8,2.41,0.085,True,True,True,True,NORMAL
synthetic-00190,operator-08,SC-05,2,set-fuel,check-alarm,set-fuel,5.4,11.59,0,52.5,96.8,462.2,2.88,0.64,53.4,60.4,348.2,2.6,3.66,0.108,True,True,True,True,NORMAL
synthetic-00668,operator-01,SC-12,4,set-fuel,start-N1,restore-utility-or-prepare-equipment,14.89,17.43,0,40.0,97.6,830.6,2.14,0.79,74.0,57.2,301.5,11.1,3.42,0.069,False,True,True,True,EQUIPMENT_NOT_READY
synthetic-00368,operator-10,SC-10,5,protect-K2,alarm-K1-high,protect-K1,112.29,111.18,0,49.6,96.2,627.9,4.47,0.67,65.6,41.5,333.9,3.6,3.97,0.055,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00632,operator-23,SC-07,12,set-fuel,start-N1,set-fuel-45,27.17,23.09,0,75.7,97.9,137.5,3.04,0.77,73.6,52.6,413.7,10.8,2.99,0.116,True,True,True,True,PARAMETER_ERROR
synthetic-00613,operator-19,SC-13,8,set-fuel,open-L1,set-fuel-45,5.62,18.15,0,92.1,98.9,283.7,4.74,0.53,44.8,35.4,407.3,9.6,3.91,0.136,True,True,True,True,PARAMETER_ERROR
synthetic-00274,operator-10,SC-12,10,start-N1,check-alarm,open-L1,20.93,13.6,0,39.8,84.4,71.2,2.53,0.63,71.6,46.8,318.8,3.7,3.8,0.105,True,True,True,True,SEQUENCE_ERROR
synthetic-00231,operator-13,SC-05,2,start-N1,set-fuel-70,open-L1,26.07,15.94,0,37.0,62.0,124.0,1.87,0.77,47.6,67.3,341.4,6.0,4.19,0.058,True,True,True,True,SEQUENCE_ERROR
synthetic-00019,operator-13,SC-14,8,set-fuel,check-alarm,set-fuel,12.93,22.04,0,41.1,98.8,879.0,2.2,0.75,52.9,58.6,352.3,0.8,3.96,0.082,True,True,True,True,NORMAL
synthetic-00251,operator-13,SC-12,9,start-N1,set-fuel-70,open-L1,7.22,19.5,0,41.8,85.6,255.1,2.04,0.67,56.3,39.5,302.3,7.7,4.3,0.129,True,True,True,True,SEQUENCE_ERROR
synthetic-00771,operator-06,SC-07,5,set-fuel,check-alarm,restore-circulation-and-reduce-fuel,21.19,2.6,0,92.8,99.0,101.5,3.19,0.66,39.3,70.8,392.6,10.0,2.2,0.066,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00141,operator-22,SC-08,12,restore-ventilation,check-alarm,restore-ventilation,24.11,22.68,0,23.5,95.5,898.9,2.95,0.64,51.1,41.9,350.3,4.8,3.9,0.078,True,True,True,True,NORMAL
synthetic-00235,operator-08,SC-13,3,start-N1,check-alarm,open-L1,6.91,9.13,0,27.9,51.7,262.8,2.66,0.5,51.2,62.3,312.8,9.9,3.48,0.115,True,True,True,True,SEQUENCE_ERROR
synthetic-00785,operator-22,SC-14,9,set-fuel,open-L1,protect-K1,24.97,14.42,0,56.3,99.8,459.1,2.9,0.62,12.1,41.2,323.9,4.4,3.71,0.089,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00828,operator-17,SC-01,11,set-fuel,check-alarm,protect-K1,19.84,23.39,0,77.7,95.9,787.4,2.51,0.74,2.4,40.4,325.1,2.5,2.64,0.098,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00164,operator-15,SC-07,5,set-fuel,open-L1,set-fuel,4.76,9.15,0,26.3,95.0,530.6,2.25,0.75,74.5,46.4,317.6,11.0,2.71,0.096,True,True,True,True,NORMAL
synthetic-00223,operator-16,SC-05,2,start-N1,set-fuel-70,open-L1,24.72,3.91,0,30.0,70.9,178.1,1.94,0.42,73.5,41.2,301.8,2.7,4.83,0.081,True,True,True,True,SEQUENCE_ERROR
synthetic-00202,operator-05,SC-13,1,protect-K1,restore-cooling,protect-K1,13.17,12.39,0,21.2,95.6,746.9,1.81,0.72,43.0,63.9,332.1,6.3,3.94,0.139,True,True,True,True,NORMAL
synthetic-00711,operator-08,SC-05,10,start-N2,check-alarm,restore-utility-or-prepare-equipment,10.77,4.62,0,46.9,7.7,588.4,2.72,0.68,38.4,49.1,354.3,4.3,3.09,0.08,True,True,True,True,EQUIPMENT_NOT_READY
synthetic-00703,operator-20,SC-13,4,set-fuel,restore-cooling,restore-utility-or-prepare-equipment,27.37,2.1,0,29.4,95.1,803.3,3.91,0.48,45.2,46.3,325.3,3.2,3.45,0.06,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00414,operator-23,SC-06,5,start-N2,alarm-K1-high,protect-K1,67.45,114.82,0,47.0,97.5,886.1,4.39,0.36,44.2,55.0,303.4,3.3,2.51,0.078,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00641,operator-02,SC-14,1,set-fuel,open-L1,set-fuel-45,18.78,24.62,0,73.2,96.0,415.2,2.47,0.53,38.6,70.4,415.5,8.7,4.96,0.081,True,True,True,True,PARAMETER_ERROR
synthetic-00082,operator-13,SC-12,6,start-N1,start-N1,start-N1,10.59,13.63,0,34.4,98.3,729.8,2.6,0.45,74.4,68.2,316.8,6.0,2.63,0.101,True,True,True,True,NORMAL
synthetic-00579,operator-11,SC-14,3,set-fuel,open-L1,set-fuel-45,11.2,4.83,0,81.2,96.9,367.8,2.3,0.41,54.8,62.4,382.7,12.0,2.59,0.067,True,True,True,True,PARAMETER_ERROR
synthetic-00778,operator-04,SC-14,5,set-fuel,open-L1,protect-K1,25.75,17.92,0,74.9,96.7,744.7,2.02,0.64,10.8,44.9,352.8,1.5,4.7,0.069,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00046,operator-01,SC-07,4,protect-K2,check-alarm,protect-K2,23.32,14.22,0,23.3,97.8,432.4,2.65,0.64,50.2,50.5,342.6,2.4,4.57,0.133,True,True,True,True,NORMAL
synthetic-00381,operator-11,SC-08,6,start-N1,alarm-K1-high,cut-fuel,149.79,91.18,0,51.5,98.2,797.8,4.16,0.62,56.5,67.6,343.7,10.2,2.37,0.089,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00141,operator-01,SC-13,10,start-N1,open-L1,start-N1,6.34,14.41,0,32.8,96.2,517.3,2.85,0.79,67.0,40.7,348.9,6.8,3.13,0.07,True,True,True,True,NORMAL
synthetic-00089,operator-07,SC-05,5,protect-K1,start-N1,protect-K1,19.44,12.28,0,33.1,98.5,566.8,2.1,0.8,39.9,52.0,333.5,6.7,3.36,0.089,True,True,True,True,NORMAL
synthetic-00718,operator-24,SC-01,6,set-fuel,start-N1,restore-utility-or-prepare-equipment,25.68,2.37,0,20.6,36.3,773.4,2.37,0.36,66.8,48.0,334.0,6.3,2.6,0.075,True,True,True,True,EQUIPMENT_NOT_READY
synthetic-00646,operator-14,SC-06,10,set-fuel,open-L1,set-fuel-45,22.47,20.49,0,80.9,99.6,177.2,2.63,0.51,59.1,57.7,399.2,11.1,2.01,0.121,True,True,True,True,PARAMETER_ERROR
synthetic-00267,operator-08,SC-08,9,start-N1,set-fuel-70,open-L1,12.52,15.45,0,46.4,8.0,231.6,2.48,0.66,40.6,45.6,354.9,8.9,2.35,0.138,True,True,True,True,SEQUENCE_ERROR
synthetic-00540,operator-16,SC-01,5,restore-cooling,restore-cooling,check-process-state,4.58,0.55,5,27.2,98.4,640.8,2.66,0.73,73.3,40.6,343.4,0.9,3.75,0.054,True,True,True,True,DUPLICATE_COMMAND
synthetic-00478,operator-14,SC-13,4,restore-cooling,restore-cooling,check-process-state,15.31,2.83,3,36.5,99.0,698.3,2.52,0.44,44.1,45.1,335.3,6.2,3.26,0.134,True,True,True,True,DUPLICATE_COMMAND
synthetic-00135,operator-21,SC-06,9,restore-ventilation,open-L1,restore-ventilation,10.57,19.02,0,54.0,98.2,503.5,1.89,0.4,72.2,58.0,350.7,1.1,4.18,0.062,True,True,True,True,NORMAL
synthetic-00167,operator-17,SC-05,10,set-fuel,restore-cooling,set-fuel,6.29,22.17,0,26.2,96.4,780.1,2.62,0.55,65.4,73.6,351.3,11.1,2.29,0.048,True,True,True,True,NORMAL
synthetic-00114,operator-10,SC-12,2,toggle-electric-field,check-alarm,toggle-electric-field,20.84,2.7,0,32.4,96.7,746.9,2.45,0.51,62.4,60.1,315.5,0.5,3.66,0.041,True,True,True,True,NORMAL
synthetic-00585,operator-04,SC-14,9,set-fuel,open-L1,set-fuel-45,9.33,20.81,0,74.9,95.8,413.9,4.5,0.46,61.6,71.3,380.9,10.9,4.52,0.15,True,True,True,True,PARAMETER_ERROR
synthetic-00516,operator-04,SC-01,2,set-fuel-45,set-fuel-45,check-process-state,25.36,1.57,2,54.7,96.2,595.7,3.03,0.52,63.7,38.4,314.7,5.3,4.85,0.063,True,True,True,True,DUPLICATE_COMMAND
synthetic-00477,operator-03,SC-08,7,restore-cooling,restore-cooling,check-process-state,16.51,2.3,5,38.8,98.9,519.8,1.87,0.35,71.3,68.3,301.6,1.2,3.69,0.061,True,True,True,True,DUPLICATE_COMMAND
synthetic-00500,operator-04,SC-12,1,set-fuel-45,set-fuel-45,check-process-state,24.66,2.3,2,24.4,99.7,493.8,3.18,0.63,73.4,70.2,324.4,6.5,4.99,0.136,True,True,True,True,DUPLICATE_COMMAND
synthetic-00261,operator-13,SC-13,2,start-N1,drain-E1,open-L1,20.87,22.46,0,30.6,65.0,142.2,2.34,0.67,60.9,39.0,327.6,10.0,3.82,0.058,True,True,True,True,SEQUENCE_ERROR
synthetic-00059,operator-06,SC-13,12,protect-K2,open-L1,protect-K2,4.41,24.87,0,40.2,99.8,607.7,2.19,0.64,49.6,67.6,330.6,3.2,4.98,0.067,True,True,True,True,NORMAL
synthetic-00490,operator-02,SC-14,7,set-fuel-45,set-fuel-45,check-process-state,20.51,1.81,4,47.1,98.8,867.5,1.98,0.57,55.2,59.1,337.2,11.0,3.59,0.082,True,True,True,True,DUPLICATE_COMMAND
synthetic-00806,operator-04,SC-08,3,set-fuel,set-fuel-45,protect-K2,16.08,16.42,0,72.2,95.6,844.5,2.54,0.45,38.1,8.9,321.5,11.2,2.85,0.053,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00429,operator-11,SC-05,2,set-fuel,alarm-K1-high,cut-fuel,126.75,93.93,0,39.6,97.5,744.9,3.06,0.77,51.9,56.8,319.3,19.9,3.15,0.065,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00373,operator-05,SC-08,12,toggle-electric-field,alarm-K1-high,protect-K1,85.35,117.11,0,30.4,99.6,555.2,1.92,0.65,54.0,35.5,354.8,25.3,3.63,0.14,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00654,operator-22,SC-12,12,set-fuel,set-fuel-45,set-fuel-45,21.89,8.4,0,96.8,99.2,348.7,3.03,0.73,56.6,56.3,399.8,11.7,4.22,0.13,True,True,True,True,PARAMETER_ERROR
synthetic-00652,operator-03,SC-08,7,set-fuel,set-fuel-45,set-fuel-45,13.17,16.52,0,80.0,97.6,219.8,2.7,0.66,63.8,41.1,373.1,10.8,4.34,0.145,True,True,True,True,PARAMETER_ERROR
synthetic-00724,operator-15,SC-10,8,start-N2,open-L1,restore-utility-or-prepare-equipment,6.12,19.52,0,29.0,97.6,872.6,2.71,0.78,64.7,65.7,345.3,2.9,4.82,0.126,True,False,True,True,EQUIPMENT_NOT_READY
synthetic-00279,operator-08,SC-07,5,start-N1,set-fuel-70,open-L1,24.48,9.95,0,28.7,76.0,74.0,2.78,0.63,65.5,37.9,312.1,3.1,3.7,0.05,True,True,True,True,SEQUENCE_ERROR
synthetic-00477,operator-05,SC-06,3,restore-cooling,restore-cooling,check-process-state,19.98,2.97,4,30.6,97.8,782.0,1.81,0.78,60.9,74.7,327.6,4.9,3.52,0.147,True,True,True,True,DUPLICATE_COMMAND
synthetic-00176,operator-04,SC-14,7,restore-ventilation,start-N1,restore-ventilation,27.26,21.19,0,20.1,99.5,880.5,2.92,0.4,71.8,40.8,345.7,3.2,2.87,0.116,True,True,True,True,NORMAL
synthetic-00023,operator-17,SC-14,7,protect-K1,set-fuel-45,protect-K1,26.26,11.0,0,36.1,96.3,786.1,2.31,0.75,36.0,49.0,343.3,1.4,4.9,0.117,True,True,True,True,NORMAL
synthetic-00395,operator-24,SC-12,5,toggle-electric-field,alarm-K1-high,restore-cooling,122.53,143.81,0,46.9,98.0,642.1,4.54,0.38,71.3,41.1,304.1,11.6,4.44,0.062,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00015,operator-24,SC-05,2,restore-cooling,check-alarm,restore-cooling,17.27,4.03,0,40.4,96.1,896.3,2.19,0.54,58.5,72.2,333.8,8.0,4.88,0.084,True,True,True,True,NORMAL
synthetic-00250,operator-04,SC-08,11,start-N1,drain-E1,open-L1,17.72,14.3,0,47.7,52.1,110.7,2.02,0.42,46.5,51.0,338.5,2.6,2.0,0.136,True,True,True,True,SEQUENCE_ERROR
synthetic-00252,operator-10,SC-07,11,start-N1,drain-E1,open-L1,20.97,24.63,0,22.7,79.4,193.5,2.4,0.72,45.4,68.5,349.8,1.1,3.59,0.048,True,True,True,True,SEQUENCE_ERROR
synthetic-00575,operator-05,SC-01,4,set-fuel,open-L1,set-fuel-45,14.21,19.03,0,77.9,96.5,224.2,4.38,0.47,43.4,40.3,388.9,6.1,3.59,0.056,True,True,True,True,PARAMETER_ERROR
synthetic-00834,operator-24,SC-07,4,set-fuel,start-N1,protect-K1,13.25,9.72,0,58.7,99.2,479.6,2.98,0.62,2.5,71.2,314.1,2.1,4.35,0.111,True,True,True,True,CRITICAL_OPERATION_ERROR
synthetic-00358,operator-21,SC-08,10,start-N1,alarm-K1-high,restore-cooling,142.82,129.24,0,36.0,95.8,716.6,2.79,0.69,60.3,47.1,322.2,25.6,2.3,0.052,True,True,True,False,RESPONSE_TIME_ERROR
synthetic-00804,operator-09,SC-06,2,disable-ventilation,restore-cooling,restore-ventilation,19.82,6.14,0,44.4,95.7,541.3,2.49,0.73,44.6,49.7,306.0,18.8,4.94,0.078,True,True,True,False,CRITICAL_OPERATION_ERROR
synthetic-00517,operator-09,SC-01,3,restore-cooling,restore-cooling,check-process-state,21.95,0.91,2,23.1,99.1,740.2,3.13,0.79,58.5,39.5,345.2,9.0,4.69,0.061,True,True,True,True,DUPLICATE_COMMAND
synthetic-00526,operator-22,SC-08,6,start-N1,start-N1,check-process-state,4.14,0.72,4,23.9,95.5,755.9,2.42,0.61,45.3,64.3,309.1,10.7,3.45,0.046,True,True,True,True,DUPLICATE_COMMAND
synthetic-00721,operator-16,SC-06,4,start-N1,check-alarm,restore-utility-or-prepare-equipment,20.27,15.81,0,28.7,79.8,749.4,2.09,0.49,70.3,37.9,346.9,2.6,4.52,0.121,True,True,True,True,EQUIPMENT_NOT_READY
synthetic-00611,operator-06,SC-08,10,set-fuel,open-L1,set-fuel-45,23.11,6.56,0,70.8,96.2,112.1,2.61,0.55,59.6,63.0,403.0,6.0,3.63,0.056,True,True,True,True,PARAMETER_ERROR
synthetic-00730,operator-12,SC-13,6,start-N2,start-N1,restore-utility-or-prepare-equipment,6.41,15.04,0,49.6,95.7,844.8,4.01,0.49,45.0,52.8,317.3,3.6,4.07,0.092,True,True,False,True,EQUIPMENT_NOT_READY
synthetic-00448,operator-15,SC-14,10,protect-K1,alarm-K1-high,restore-cooling,88.18,95.53,0,45.1,96.8,685.3,4.64,0.74,40.3,74.1,338.1,7.7,4.59,0.067,True,True,False,True,RESPONSE_TIME_ERROR
synthetic-00693,operator-03,SC-01,10,start-N1,check-alarm,restore-utility-or-prepare-equipment,13.78,22.53,0,34.7,96.4,736.4,1.85,0.37,74.9,45.4,341.6,6.0,2.78,0.059,True,False,True,True,EQUIPMENT_NOT_READY
synthetic-00681,operator-05,SC-14,9,start-N2,open-L1,restore-utility-or-prepare-equipment,27.34,15.25,0,41.7,99.0,649.1,3.0,0.72,74.4,36.1,329.4,4.4,4.97,0.124,False,True,True,True,EQUIPMENT_NOT_READY
